Nombre d'itérations,Nombre de cellules,Nombre de cellules stromales vivantes,Nombre de cellules stromales en apoptose,Nombre de cellules stromales en nécrose,Nombre de cellules immunitaires vivantes,Nombre de cellules immunitaires résidentes vivantes,Nombre de vellules immunitaires circulantes vivantes,Nombre de cellules immunitaires en apoptose,Nombre de cellules immunitaires en nécrose,Nombre d'ImmuneMaker,Moyenne de l'inflammation
0,2852,2137,0,0,713,713,0,0,0,2,0
1,2852,2137,0,0,713,713,0,0,0,2,0
2,2862,2146,1,0,713,713,0,0,0,2,0
3,2866,2150,1,0,713,713,0,0,0,2,0
4,2867,2150,2,0,713,713,0,0,0,2,0
5,2869,2152,2,0,713,713,0,0,0,2,0
6,2869,2151,3,0,713,713,0,0,0,2,0
7,2869,2151,3,0,713,713,0,0,0,2,0
8,2869,2151,3,0,713,713,0,0,0,2,0
9,2869,2151,3,0,713,713,0,0,0,2,0
10,2869,2150,4,0,713,713,0,0,0,2,0
11,2869,2150,4,0,713,713,0,0,0,2,0
12,2869,2150,4,0,713,713,0,0,0,2,0
13,2869,2150,4,0,713,713,0,0,0,2,0
14,2869,2150,4,0,713,713,0,0,0,2,0
15,2871,2152,4,0,713,713,0,0,0,2,0
16,2873,2154,4,0,713,713,0,0,0,2,0
17,2874,2155,4,0,713,713,0,0,0,2,0
18,2874,2155,4,0,713,713,0,0,0,2,0
19,2874,2155,4,0,713,713,0,0,0,2,0
20,2874,2155,4,0,713,713,0,0,0,2,0
21,2874,2153,6,0,713,713,0,0,0,2,0
22,2874,2151,8,0,713,713,0,0,0,2,0
23,2874,2151,8,0,713,713,0,0,0,2,0
24,2873,2151,7,0,713,713,0,0,0,2,0
25,2873,2151,7,0,713,713,0,0,0,2,0
26,2873,2151,7,0,713,713,0,0,0,2,0
27,2873,2151,7,0,713,713,0,0,0,2,0
28,2874,2152,7,0,713,713,0,0,0,2,0
29,2875,2153,7,0,713,713,0,0,0,2,0
30,2875,2153,7,0,713,713,0,0,0,2,0
31,2876,2154,7,0,713,713,0,0,0,2,0
32,2876,2154,7,0,713,713,0,0,0,2,0
33,2876,2154,7,0,713,713,0,0,0,2,0
34,2876,2153,8,0,713,713,0,0,0,2,0
35,2876,2153,8,0,713,713,0,0,0,2,0
36,2876,2153,8,0,713,713,0,0,0,2,0
37,2876,2153,8,0,713,713,0,0,0,2,0
38,2876,2153,8,0,713,713,0,0,0,2,0
39,2874,2153,6,0,713,713,0,0,0,2,0
40,2872,2153,4,0,713,713,0,0,0,2,0
41,2870,2153,2,0,713,713,0,0,0,2,0
42,2869,2153,1,0,713,713,0,0,0,2,0
43,2869,2153,1,0,713,713,0,0,0,2,0
44,2869,2153,1,0,713,713,0,0,0,2,0
45,2869,2153,1,0,713,713,0,0,0,2,0
46,2869,2152,2,0,713,713,0,0,0,2,0
47,2869,2151,3,0,713,713,0,0,0,2,0
48,2869,2149,5,0,713,713,0,0,0,2,0
49,2869,2149,5,0,713,713,0,0,0,2,0
50,2869,2148,6,0,713,713,0,0,0,2,0
51,2869,2148,6,0,713,713,0,0,0,2,0
52,2869,2147,7,0,713,713,0,0,0,2,0
53,2869,2146,8,0,713,713,0,0,0,2,0
54,2869,2146,8,0,713,713,0,0,0,2,0
55,2869,2146,8,0,713,713,0,0,0,2,0
56,2869,2146,8,0,713,713,0,0,0,2,0
57,2869,2146,8,0,713,713,0,0,0,2,0
58,2869,2146,8,0,713,713,0,0,0,2,0
59,2869,2146,8,0,713,713,0,0,0,2,0
60,2869,2145,9,0,713,713,0,0,0,2,0
61,2869,2145,9,0,713,713,0,0,0,2,0
62,2869,2145,9,0,713,713,0,0,0,2,0
63,2869,2145,9,0,713,713,0,0,0,2,0
64,2870,2146,9,0,713,713,0,0,0,2,0
65,2869,2146,8,0,713,713,0,0,0,2,0
66,2868,2146,7,0,713,713,0,0,0,2,0
67,2868,2146,7,0,713,713,0,0,0,2,0
68,2868,2146,7,0,713,713,0,0,0,2,0
69,2868,2145,8,0,713,713,0,0,0,2,0
70,2868,2145,8,0,713,713,0,0,0,2,0
71,2867,2144,8,0,713,713,0,0,0,2,0
72,2867,2144,8,0,713,713,0,0,0,2,0
73,2866,2144,7,0,713,713,0,0,0,2,0
74,2866,2144,7,0,713,713,0,0,0,2,0
75,2866,2143,8,0,713,713,0,0,0,2,0
76,2866,2143,8,0,713,713,0,0,0,2,0
77,2867,2144,8,0,713,713,0,0,0,2,0
78,2867,2143,9,0,713,713,0,0,0,2,0
79,2867,2142,10,0,713,713,0,0,0,2,0
80,2868,2143,10,0,713,713,0,0,0,2,0
81,2868,2144,9,0,713,713,0,0,0,2,0
82,2868,2143,10,0,713,713,0,0,0,2,0
83,2868,2143,10,0,713,713,0,0,0,2,0
84,2868,2143,10,0,713,713,0,0,0,2,0
85,2867,2143,9,0,713,713,0,0,0,2,0
86,2867,2143,9,0,713,713,0,0,0,2,0
87,2867,2143,9,0,713,713,0,0,0,2,0
88,2867,2142,10,0,713,713,0,0,0,2,0
89,2867,2142,10,0,713,713,0,0,0,2,0
90,2867,2142,10,0,713,713,0,0,0,2,0
91,2867,2142,10,0,713,713,0,0,0,2,0
92,2867,2142,10,0,713,713,0,0,0,2,0
93,2867,2142,10,0,713,713,0,0,0,2,0
94,2867,2142,10,0,713,713,0,0,0,2,0
95,2868,2143,10,0,713,713,0,0,0,2,0
96,2868,2143,10,0,713,713,0,0,0,2,0
97,2868,2143,10,0,713,713,0,0,0,2,0
98,2868,2143,10,0,713,713,0,0,0,2,0
99,2868,2142,11,0,713,713,0,0,0,2,0
100,2868,2142,11,0,713,713,0,0,0,2,0
101,2868,2143,10,0,713,713,0,0,0,2,0
102,2869,2143,11,0,713,713,0,0,0,2,0
103,2869,2143,11,0,713,713,0,0,0,2,0
104,2869,2143,11,0,713,713,0,0,0,2,0
105,2869,2143,11,0,713,713,0,0,0,2,0
106,2868,2143,10,0,713,713,0,0,0,2,0
107,2867,2143,9,0,713,713,0,0,0,2,0
108,2866,2143,8,0,713,713,0,0,0,2,0
109,2866,2143,8,0,713,713,0,0,0,2,0
110,2866,2143,8,0,713,713,0,0,0,2,0
111,2865,2143,7,0,713,713,0,0,0,2,0
112,2865,2143,7,0,713,713,0,0,0,2,0
113,2864,2143,6,0,713,713,0,0,0,2,0
114,2865,2144,6,0,713,713,0,0,0,2,0
115,2864,2144,5,0,713,713,0,0,0,2,0
116,2864,2144,5,0,713,713,0,0,0,2,0
